989085,Employee Experience Analyst,https://gis.aiesec.org/v2/opportunities/989085,open,approved,GT,248,75,2018-10-25,2018-11-01,2020-04-10,USMA,2018-08-17,Business Administration,Sanofi Aventis,1,0,1300
988899,World Largest Lesson - Volunteers Coordinator,https://gis.aiesec.org/v2/opportunities/988899,open,realized,GV,7,6,2018-09-01,2018-09-10,2018-10-22,UTP,2018-08-16,Null,UNICEF,3,0,Null
988871,World Largest Lesson - Marketing Coordinator,https://gis.aiesec.org/v2/opportunities/988871,open,realized,GV,1,6,2018-09-10,2018-09-10,2018-10-22,UTP,2018-08-16,Null,UNICEF,1,0,Null
988847,World Largest Lesson - Logistics,https://gis.aiesec.org/v2/opportunities/988847,open,unmatched,GV,6,6,2018-09-10,2018-09-10,2018-10-22,UTP,2018-08-16,Null,UNICEF,4,0,Null
988845,World Largest Lesson - Finance Coordinator,https://gis.aiesec.org/v2/opportunities/988845,open,realized,GV,1,6,2018-09-10,2018-09-10,2018-10-22,UTP,2018-08-16,Null,UNICEF,1,0,Null
988834,World Largest Lesson organizational comitte President,https://gis.aiesec.org/v2/opportunities/988834,open,realized,GV,1,6,2018-08-31,2018-09-10,2018-10-22,UTP,2018-08-16,Null,UNICEF,1,0,Null
988817,Marketing and communications volunteer,https://gis.aiesec.org/v2/opportunities/988817,open,realized,GV,2,6,2018-09-10,2018-09-03,2018-10-15,UTP,2018-08-16,Null,UNICEF,1,0,Null
988312,External Relations - F. Palabra y Poder - Improve Project,https://gis.aiesec.org/v2/opportunities/988312,open,approved,GV,6,6,2018-11-26,2018-12-02,2019-01-13,UTP,2018-08-14,Null,Panama,3,0,Null
987660,Volunteers for the Rights of Children,https://gis.aiesec.org/v2/opportunities/987660,open,unmatched,GV,4,6,2018-09-08,2018-09-03,2018-10-15,UTP,2018-08-12,Null,UNICEF,4,0,Null
987659,Organization Committee - World Largest Lesson,https://gis.aiesec.org/v2/opportunities/987659,draft,draft,GV,0,6,2018-09-07,2018-08-26,2018-10-13,UTP,2018-08-12,Null,UNICEF,10,10,Null
986914,Inside Sales Support Representative,https://gis.aiesec.org/v2/opportunities/986914,draft,draft,GT,0,None,2018-08-20,Null,Null,UTP,2018-08-09,Null,DELL,1,1,Null
986845,Master Data / Monitor Support,https://gis.aiesec.org/v2/opportunities/986845,open,approved,GT,93,76,2018-10-12,2018-10-21,2020-04-09,USMA,2018-08-09,Business Administration,SANOFI AVENTIS,1,0,1300
986798,Human Resources Compensation & Benefits Analyst,https://gis.aiesec.org/v2/opportunities/986798,removed,removed,GT,41,78,2018-09-10,2018-09-10,2020-03-09,USMA,2018-08-09,Business Administration,Panama City,1,1,1300
986413,Marketing Assistant NOLA,https://gis.aiesec.org/v2/opportunities/986413,open,realized,GT,183,77,2018-09-23,2018-09-23,2020-03-19,UTP,2018-08-07,Marketing,DELL Panama- S.A.,1,0,1200
985970,Electronic Engineer,https://gis.aiesec.org/v2/opportunities/985970,open,unmatched,GT,136,38,2018-10-29,2018-10-30,2019-07-27,BALBOA,2018-08-04,Null,Panamá,2,2,1000
985902,Marketing Trainnee,https://gis.aiesec.org/v2/opportunities/985902,open,realized,GT,143,78,2018-09-17,2018-09-10,2020-03-10,UTP,2018-08-04,Marketing,NOVARTIS,1,0,1200
985776,Service Sales - Email Merge APOS Team,https://gis.aiesec.org/v2/opportunities/985776,open,approved,GT,167,77,2018-10-19,2018-10-21,2020-04-16,UTP,2018-08-04,Business Administration,DELL,1,0,1200
985760,Customer Advocacy Data Analyst,https://gis.aiesec.org/v2/opportunities/985760,open,approved,GT,177,77,2018-10-19,2018-10-21,2020-04-15,UTP,2018-08-03,Business Administration,DELL,1,0,1200
985711,Decision Support Specialist,https://gis.aiesec.org/v2/opportunities/985711,open,realized,GT,103,25,2018-08-30,2018-09-17,2019-03-15,UTP,2018-08-03,Business Administration,NESTLÉ,1,0,1600
985441,IMPROVE - Digital Marketing,https://gis.aiesec.org/v2/opportunities/985441,open,open,GV,3,7,2018-11-28,2018-12-05,2019-01-25,CHIRIQUI,2018-08-01,Null,Chiriqui,2,1,Null
985290,intern mkt,https://gis.aiesec.org/v2/opportunities/985290,removed,removed,GT,0,52,2018-08-16,2018-08-24,2019-08-24,ISTMO,2018-07-31,Null,Panama City,1,1,1000
